file,has_O2,has_g,has_O3
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/Zlib0.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/util/generic_worker.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/util/memory.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/util/billing.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/util/debug.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/model/JpegArithmeticCoder.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/model/model.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/model/numeric.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/encoder/encoder.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/decoder/decoder.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/encoder/boolwriter.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/vp8/decoder/boolreader.cc,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc,1,1,0
