mode,input_bc,track,step,dsa,result,exit_code,elapsed_sec,log_file
horn_smc_reg,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/artifact/zopfli_O2_g.smc.bc,reg,large,,sat,0,26,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.horn.smc.reg.log
horn_smc_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/artifact/zopfli_O2_g.smc.bc,ptr,large,sea-cs,sat,0,1090,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.horn.smc.ptr.log
horn_smc_mem,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/artifact/zopfli_O2_g.smc.bc,mem,small,sea-cs,error,114,2,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.horn.smc.mem.log
horn_ndc_reg,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/artifact/zopfli_O2_g.ndc.bc,reg,large,,sat,0,31,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.horn.ndc.reg.log
horn_ndc_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/artifact/zopfli_O2_g.ndc.bc,ptr,large,sea-cs,sat,0,72,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.horn.ndc.ptr.log
horn_ndc_mem,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/artifact/zopfli_O2_g.ndc.bc,mem,small,sea-cs,error,114,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.horn.ndc.mem.log
horn_crab_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/artifact/zopfli_O2_g.crab.bc,ptr,large,sea-cs,unsat,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.horn.crab.ptr.log
