mode,input_bc,track,step,dsa,result,exit_code,elapsed_sec,log_file
horn_orig_reg,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,reg,large,,error,247,50,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.orig.reg.log
horn_orig_ptr,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,ptr,large,sea-cs,error,247,43,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.orig.ptr.log
horn_orig_mem,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,mem,small,sea-cs,error,247,41,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.orig.mem.log
horn_smc_reg,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/artifact/zfp_O2_g.smc.bc,reg,large,,error,247,42,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.smc.reg.log
horn_smc_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/artifact/zfp_O2_g.smc.bc,ptr,large,sea-cs,error,247,40,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.smc.ptr.log
horn_smc_mem,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/artifact/zfp_O2_g.smc.bc,mem,small,sea-cs,error,247,50,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.smc.mem.log
horn_ndc_reg,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/artifact/zfp_O2_g.ndc.bc,reg,large,,unsat,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.ndc.reg.log
horn_ndc_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/artifact/zfp_O2_g.ndc.bc,ptr,large,sea-cs,unsat,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.ndc.ptr.log
horn_ndc_mem,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/artifact/zfp_O2_g.ndc.bc,mem,small,sea-cs,unsat,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.ndc.mem.log
horn_crab_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/artifact/zfp_O2_g.crab.bc,ptr,large,sea-cs,unsat,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_223731_fixed_fullmatrix/log/sea.horn.crab.ptr.log
