step,name,exit_code,elapsed_sec,stdout,stderr
01,inspect_profiler,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.inspect.profiler.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.inspect.profiler.stderr.log
02,inspect_mem_stats,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.inspect.mem-stats.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.inspect.mem-stats.stderr.log
03,inspect_callgraph_stats,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.inspect.callgraph-stats.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.inspect.callgraph-stats.stderr.log
04,smc_typeoff,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
05,smc_typeon,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeon.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeon.stderr.log
06,smc_instrument,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.instrument.stderr.log
07,horn_smc_reg,0,10,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.smc.reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.smc.reg.stderr.log
08,horn_smc_ptr,0,1086,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.smc.ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.smc.ptr.stderr.log
09,horn_smc_mem,114,2,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.smc.mem.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.smc.mem.stderr.log
10,ndc_instrument,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.ndc.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.ndc.instrument.stderr.log
11,horn_ndc_reg,0,31,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.ndc.reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.ndc.reg.stderr.log
12,horn_ndc_ptr,0,53,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.ndc.ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.ndc.ptr.stderr.log
13,horn_ndc_mem,114,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.ndc.mem.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.ndc.mem.stderr.log
14,crab_instrument,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.crab.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.crab.instrument.stderr.log
15,horn_crab_ptr,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.crab.ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.horn.crab.ptr.stderr.log
16,term,0,2,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.term.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.term.stderr.log
