step,kind,note,timeout_sec,status,exit_code,elapsed_sec,issue,stdout,stderr,dot_file,command
cda_standard_icfg,line,now rejected gracefully as unsupported,300,failed,2,0,ERROR: standard CDA does not support --cda-icfg in DG,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_standard_icfg.line.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_standard_icfg.line.stderr.log,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda standard --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''"
cda_standard_icfg,dot,now rejected gracefully as unsupported,300,failed,2,0,ERROR: standard CDA does not support --cda-icfg in DG,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_standard_icfg.dot.dot.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_standard_icfg.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_standard_icfg.dot,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda standard --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_standard_icfg.dot'""'""''"
cda_ntscd_icfg,line,bounded field sensitivity 64 after dump guards,1200,failed,139,1,NONZERO_EXIT_139,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_ntscd_icfg.line.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_ntscd_icfg.line.stderr.log,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda ntscd --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''"
cda_ntscd_icfg,dot,bounded field sensitivity 64 after dump guards,1200,failed,139,2,/bin/bash: line 1:     9 Segmentation fault      (core dumped) /opt/dg/bin/llvm-cda-dump --c-lines --dot -cda ntscd --cda-icfg --use-pta --pta-field-sensitive 64 '/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc' > '/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_ntscd_icfg.dot',/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_ntscd_icfg.dot.dot.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_ntscd_icfg.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_ntscd_icfg.dot,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda ntscd --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_ntscd_icfg.dot'""'""''"
