mode,check,encoding,unroll,verifier,exit_code,result,elapsed_sec,key_message,log_file
translate,memory-safety,na,8,default,0,unknown,2,no-key-message,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.translate.stdout.log
verify,assertions,unbounded-integer,8,default,0,verified,66,SMACK found no errors with unroll bound 8.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.assertions.ub.u8.default.stdout.log
verify,memory-safety,unbounded-integer,8,default,2,error,1067,SMACK found an error: invalid pointer dereference.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u8.default.stdout.log
verify,integer-overflow,unbounded-integer,8,default,0,verified,57,SMACK found no errors with unroll bound 8.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.integer-overflow.ub.u8.default.stdout.log
verify,memory-safety,unbounded-integer,16,default,2,error,1070,SMACK found an error: invalid pointer dereference.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u16.default.stdout.log
verify,assertions,bit-vector,8,default,1,error,5,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.assertions.bv.u8.default.stdout.log
verify,memory-safety,bit-vector,8,default,1,error,6,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.bv.u8.default.stdout.log
verify,integer-overflow,bit-vector,8,default,1,error,5,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.integer-overflow.bv.u8.default.stdout.log
verify,memory-safety,unbounded-integer,8,svcomp,126,error,1882,Timed out during normal inlining.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u8.svcomp.stdout.log
