metric,value
total_runs,9
verified_count,2
error_count,6
timeout_count,0
unknown_count,1
main_symbol,present
undefined_symbol_count,21
input_bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zopfli/LLVM13-O2-g/artifacts/zopfli_O2_g.bc
