step,name,exit_code,elapsed_sec,stdout,stderr
01,inspect_profiler,0,13,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.inspect.profiler.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.inspect.profiler.stderr.log
02,inspect_mem_stats,0,15,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.inspect.mem-stats.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.inspect.mem-stats.stderr.log
03,inspect_callgraph_stats,0,74,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.inspect.callgraph-stats.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.inspect.callgraph-stats.stderr.log
04,smc_typeoff,247,195,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.smc.stats.typeoff.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
05,smc_typeon,247,177,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.smc.stats.typeon.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.smc.stats.typeon.stderr.log
06,smc_instrument,247,177,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.smc.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.smc.instrument.stderr.log
07,horn_smc_reg,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.reg.stderr.log
08,horn_smc_ptr,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.ptr.stderr.log
09,horn_smc_mem,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.mem.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.mem.stderr.log
10,ndc_instrument,247,53,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.ndc.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.ndc.instrument.stderr.log
