file,has_O2,has_g,has_O3
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-banout.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-coap.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-dns.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-ftp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-http.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-icmp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-imap4.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-isakmp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-mc.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-memcached.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-netbios.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-ntlmssp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-ntp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-oproto.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-pop3.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-preprocess.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-sctp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-smb.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-smtp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-snmp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-ssh.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-ssl-test.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-ssl.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-tcp-rdp.c,1,1,0
/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/masscan/LLVM13-O2-g/work/masscan-src/src/proto-tcp-telnet.c,1,1,0
