step,analysis_kind,analysis_mode,channel,warning,stderr
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %71, i8 %72, i64 %2, i1 false) #56, !dbg !29621",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %1, i8 %16, i64 %2, i1 false) #56, !dbg !29414",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %10, i8 %16, i64 %33, i1 false) #56, !dbg !29482",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* align 1 %1, i8 %16, i64 %18, i1 false) #56, !dbg !29513",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %97 = insertvalue { i64, i64 } poison, i64 %96, 0, !dbg !29411",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %112 = insertvalue { i64, i64 } %97, i64 %111, 1, !dbg !29411",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %22 = insertvalue { i64, i64 } poison, i64 %21, 0, !dbg !29147",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %23 = insertvalue { i64, i64 } %22, i64 %7, 1, !dbg !29147",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 1 dereferenceable(3) %627, i8 69, i64 3, i1 false), !dbg !30789",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,dot,IntToPtr with constant:   <badref> = inttoptr i64 -8 to i8*,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.dot.stderr.log
pta_fi,PTA,fi,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(44) bitcast (i32* getelementptr inbounds (%""struct.Sirikata::Array1d.24"", %""struct.Sirikata::Array1d.24""* @cmpnfo, i64 0, i32 0, i64 0, i32 3) to i8*), i8 -1, i64 44, i1 false), !dbg !29237",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.dot.stderr.log
