metric,value
smc_case_total,294
smc_typeoff_cases,147
smc_typeon_cases,147
unique_files,11
unique_lines,28
horn_sat_count,1
horn_unsat_count,1
horn_unknown_or_timeout_count,0
image,seahorn/seahorn-llvm14:fixed
smc_bc,0
ndc_bc,1
crab_bc,1
