step,name,exit_code,elapsed_sec,stdout,stderr
01,inspect_profiler,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.inspect.profiler.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.inspect.profiler.stderr.log
02,inspect_mem_stats,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.inspect.mem-stats.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.inspect.mem-stats.stderr.log
03,inspect_callgraph_stats,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.inspect.callgraph-stats.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.inspect.callgraph-stats.stderr.log
04,horn_orig_reg,247,115,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.reg.stderr.log
05,horn_orig_ptr,247,51,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.ptr.stderr.log
06,horn_orig_mem,247,37,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.mem.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.mem.stderr.log
07,smc_typeoff,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.smc.stats.typeoff.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
08,smc_typeon,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.smc.stats.typeon.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.smc.stats.typeon.stderr.log
09,smc_instrument,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.smc.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.smc.instrument.stderr.log
10,ndc_instrument,247,118,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.ndc.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.ndc.instrument.stderr.log
11,crab_instrument,247,53,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.crab.instrument.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.crab.instrument.stderr.log
12,horn_smc_reg,247,117,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.reg.stderr.log
13,horn_smc_ptr,247,52,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.ptr.stderr.log
14,horn_smc_mem,247,41,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.mem.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.mem.stderr.log
15,horn_ndc_reg,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_reg.stderr.log
16,horn_ndc_ptr,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_ptr.stderr.log
17,horn_ndc_mem,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_mem.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_mem.stderr.log
18,horn_crab_ptr,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_crab_ptr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_crab_ptr.stderr.log
19,term,247,69,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.term.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.term.stderr.log
