mode,input_bc,track,step,dsa,result,exit_code,elapsed_sec,log_file
horn_smc_reg,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.smc.bc,reg,large,,unsat,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.reg.log
horn_smc_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.smc.bc,ptr,large,sea-cs,unsat,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.ptr.log
horn_smc_mem,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.smc.bc,mem,small,sea-cs,unsat,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.smc.mem.log
horn_ndc_reg,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.ndc.bc,reg,large,,unsat,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.ndc.reg.log
horn_ndc_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.ndc.bc,ptr,large,sea-cs,unsat,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.ndc.ptr.log
horn_ndc_mem,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.ndc.bc,mem,small,sea-cs,unsat,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.ndc.mem.log
horn_crab_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.crab.bc,ptr,large,sea-cs,unsat,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.horn.crab.ptr.log
