step,group,name,check,integer_encoding,unroll,verifier,time_limit,status,key_message,stdout,stderr
10,matrix,assertions_unbounded,assertions,unbounded-integer,10,corral,1800,verified,SMACK found no errors with unroll bound 10.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/10.assertions_unbounded.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/10.assertions_unbounded.stderr.log
11,matrix,memory_safety_unbounded,memory-safety,unbounded-integer,10,corral,1800,error,SMACK found an error: invalid pointer dereference.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/11.memory_safety_unbounded.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/11.memory_safety_unbounded.stderr.log
12,matrix,integer_overflow_unbounded,integer-overflow,unbounded-integer,10,corral,1800,verified,SMACK found no errors with unroll bound 10.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/12.integer_overflow_unbounded.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/12.integer_overflow_unbounded.stderr.log
13,matrix,memory_safety_unbounded_unroll16,memory-safety,unbounded-integer,16,corral,1800,error,SMACK found an error: invalid pointer dereference.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/13.memory_safety_unbounded_unroll16.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/13.memory_safety_unbounded_unroll16.stderr.log
14,matrix,assertions_bitvector,assertions,bit-vector,10,corral,1800,backend failure,10 type checking errors in /home/jimi/PaperExperiment/a-qeccdwmw.bpl,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/14.assertions_bitvector.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/14.assertions_bitvector.stderr.log
15,matrix,memory_safety_bitvector,memory-safety,bit-vector,10,corral,1800,backend failure,10 type checking errors in /home/jimi/PaperExperiment/a-yrl6fqsi.bpl,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/15.memory_safety_bitvector.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/15.memory_safety_bitvector.stderr.log
16,matrix,integer_overflow_bitvector,integer-overflow,bit-vector,10,corral,1800,backend failure,10 type checking errors in /home/jimi/PaperExperiment/a-_3j5jtwl.bpl,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/16.integer_overflow_bitvector.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/16.integer_overflow_bitvector.stderr.log
17,matrix,memory_safety_unbounded_svcomp,memory-safety,unbounded-integer,10,svcomp,1800,tool failure,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/17.memory_safety_unbounded_svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/17.memory_safety_unbounded_svcomp.stderr.log
