step,analysis_kind,analysis_mode,channel,warning,stderr
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fi.dot.stderr.log
dda_fi,DDA,ssa+fi,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fi.dot.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %5, i8 -1, i64 262144, i1 false), !dbg !349, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %80, i8 -1, i64 262144, i1 false), !dbg !381, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %89, i8 -1, i64 262144, i1 false), !dbg !381, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.lines.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %5, i8 -1, i64 262144, i1 false), !dbg !349, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %80, i8 -1, i64 262144, i1 false), !dbg !381, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %89, i8 -1, i64 262144, i1 false), !dbg !381, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_fs,DDA,ssa+fs,dot,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_fs.dot.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %5, i8 -1, i64 262144, i1 false), !dbg !349, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %80, i8 -1, i64 262144, i1 false), !dbg !381, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(262144) %89, i8 -1, i64 262144, i1 false), !dbg !381, !tbaa !353",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
dda_inv,DDA,ssa+inv,lines,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/dg/dg-LLVM14-O2-g/high_precision_20260403_041913/log/dda_inv.lines.stderr.log
